seed,size,mode,policy,ms,solverAttempts,observedReason,timeoutChecks,viableTemplates,validationErrors
"16","11","en_to_ar","approved-only","1803.8709170000511","2","solver_deadline_observed_root_cause_unestablished","45","6","[]"
"16","11","ar_to_en","approved-only","4502.38625000004","255","solver_deadline_observed_root_cause_unestablished","63","24","[]"
"16","11","ar_to_en","compatibility","4501.358041999978","24","solver_deadline_observed_root_cause_unestablished","123","24","[]"
"16","13","en_to_ar","approved-only","1806.4081250000163","42","solver_deadline_observed_root_cause_unestablished","74","6","[]"
"16","13","ar_to_en","approved-only","91.45612499996787","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"16","13","ar_to_en","compatibility","4513.670250000025","24","solver_deadline_observed_root_cause_unestablished","138","24","[]"
"17","7","ar_to_en","approved-only","3002.432458999974","24","solver_deadline_observed_root_cause_unestablished","141","24","[]"
"17","9","en_to_ar","approved-only","1703.0116249999846","2","solver_deadline_observed_root_cause_unestablished","34","6","[]"
"17","9","ar_to_en","approved-only","3991.3280830000294","56","solver_deadline_observed_root_cause_unestablished","81","24","[]"
"17","11","en_to_ar","approved-only","1803.6347500000265","2","solver_deadline_observed_root_cause_unestablished","48","6","[]"
"17","11","ar_to_en","compatibility","4503.658999999985","24","solver_deadline_observed_root_cause_unestablished","139","24","[]"
"17","11","ar_to_en","approved-only","4502.09249999997","276","solver_deadline_observed_root_cause_unestablished","68","24","[]"
"17","13","en_to_ar","compatibility","1806.879917000013","2","solver_deadline_observed_root_cause_unestablished","23","6","[]"
"17","13","en_to_ar","approved-only","1806.7852079999866","2","solver_deadline_observed_root_cause_unestablished","52","6","[]"
"17","13","ar_to_en","compatibility","4515.65625","24","solver_deadline_observed_root_cause_unestablished","145","24","[]"
"17","13","ar_to_en","approved-only","94.44337500003166","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"18","7","ar_to_en","approved-only","3002.209916999971","24","solver_deadline_observed_root_cause_unestablished","134","24","[]"
"18","9","ar_to_en","approved-only","3990.8929580000113","61","solver_deadline_observed_root_cause_unestablished","85","24","[]"
"18","11","en_to_ar","approved-only","1803.6722910000244","2","solver_deadline_observed_root_cause_unestablished","50","6","[]"
"18","11","ar_to_en","approved-only","4480.232375000021","259","solver_deadline_observed_root_cause_unestablished","55","24","[]"
"18","11","ar_to_en","compatibility","4503.377457999974","24","solver_deadline_observed_root_cause_unestablished","140","24","[]"
"18","13","en_to_ar","approved-only","1804.5562080000527","2","solver_deadline_observed_root_cause_unestablished","58","6","[]"
"18","13","ar_to_en","approved-only","94.73141699994449","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"18","13","ar_to_en","compatibility","4512.450584000093","24","solver_deadline_observed_root_cause_unestablished","139","24","[]"
"19","7","ar_to_en","approved-only","3002.078707999899","24","solver_deadline_observed_root_cause_unestablished","100","24","[]"
"19","9","en_to_ar","approved-only","1702.3159590000287","2","solver_deadline_observed_root_cause_unestablished","43","6","[]"
"19","9","ar_to_en","approved-only","3991.478832999943","77","solver_deadline_observed_root_cause_unestablished","90","24","[]"
"19","11","ar_to_en","compatibility","4502.234625000041","24","solver_deadline_observed_root_cause_unestablished","167","24","[]"
"19","11","ar_to_en","approved-only","4408.038166999933","301","solver_deadline_observed_root_cause_unestablished","56","24","[]"
"19","13","en_to_ar","approved-only","1806.171459000092","22","solver_deadline_observed_root_cause_unestablished","72","6","[]"
"19","13","ar_to_en","compatibility","4515.654833999928","24","solver_deadline_observed_root_cause_unestablished","185","24","[]"
"19","13","ar_to_en","approved-only","98.07929200003855","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"20","7","ar_to_en","approved-only","3002.1686250000494","24","solver_deadline_observed_root_cause_unestablished","106","24","[]"
"20","9","en_to_ar","approved-only","1703.1073329999344","2","solver_deadline_observed_root_cause_unestablished","20","6","[]"
"20","9","ar_to_en","approved-only","3991.8158750000875","72","solver_deadline_observed_root_cause_unestablished","72","24","[]"
"20","11","en_to_ar","approved-only","1804.7774159999099","2","solver_deadline_observed_root_cause_unestablished","62","6","[]"
"20","11","ar_to_en","approved-only","4404.405416999944","308","solver_deadline_observed_root_cause_unestablished","53","24","[]"
"20","11","ar_to_en","compatibility","4502.593375000055","24","solver_deadline_observed_root_cause_unestablished","143","24","[]"
"20","13","en_to_ar","approved-only","1806.5724159999518","2","solver_deadline_observed_root_cause_unestablished","55","6","[]"
"20","13","ar_to_en","approved-only","87.31479199999012","480","bounded_search_no_solution_reason_unestablished","0","24","[]"
"20","13","ar_to_en","compatibility","4513.483375000069","24","solver_deadline_observed_root_cause_unestablished","161","24","[]"
"21","7","ar_to_en","approved-only","3002.297833999968","24","solver_deadline_observed_root_cause_unestablished","133","24","[]"
"21","9","en_to_ar","approved-only","1702.530584000051","2","solver_deadline_observed_root_cause_unestablished","30","6","[]"
"21","9","ar_to_en","approved-only","3991.1232079999754","60","solver_deadline_observed_root_cause_unestablished","87","24","[]"
"21","11","en_to_ar","approved-only","1803.2875830000266","2","solver_deadline_observed_root_cause_unestablished","24","6","[]"
"21","11","ar_to_en","compatibility","4502.145000000019","24","solver_deadline_observed_root_cause_unestablished","179","24","[]"
